time,symbol,timeframe,action,pos,price,qty,equity,entry_px,fee,stop_px,risk_amt,size,cashflow,notional,rate,exit_px,pnl,entry_time,strategy_key,weight
2024-02-02T04:45:00+00:00,BTCUSDT,15m,entry_short,-1,141861.07723232225,0.07050560023381143,9996.0,141832.70501687579,3.9999999999999782,143251.03206704455,100.0,0.07050560023381143,,,,,,,BTCUSDT|f5|s35|sl0.0100|15m,0.4
2024-02-02T04:45:00+00:00,BTCUSDT,15m,funding,-1,141861.07723232225,0.07050560023381143,9995.990589774308,,,,,,-0.009410225692139508,10002.00040007996,-9.408343647001133e-07,,,,BTCUSDT|f5|s35|sl0.0100|15m,0.4
2024-02-02T05:00:00+00:00,BTCUSDT,15m,funding,-1,141543.00190401237,0.07050560023381143,9995.999632761786,,,,,,0.00904298747811286,9979.574308137906,9.061496211054514e-07,,,,BTCUSDT|f5|s35|sl0.0100|15m,0.4
2024-02-02T05:15:00+00:00,BTCUSDT,15m,funding,-1,141506.5726710719,0.07050560023381143,9996.010018183879,,,,,,0.010385422092535589,9977.00584320338,1.0409357532460936e-06,,,,BTCUSDT|f5|s35|sl0.0100|15m,0.4
2024-02-02T05:30:00+00:00,BTCUSDT,15m,funding,-1,141997.59815941728,0.07050560023381143,9996.00917022344,,,,,,-0.0008479604385387486,10011.625889989273,-8.469757538449703e-08,,,,BTCUSDT|f5|s35|sl0.0100|15m,0.4
2024-02-02T05:45:00+00:00,BTCUSDT,15m,funding,-1,142043.23383938658,0.07050560023381143,9996.012988662173,,,,,,0.003818438731715946,10014.843460997587,3.8127792477103665e-07,,,,BTCUSDT|f5|s35|sl0.0100|15m,0.4
2024-02-02T06:00:00+00:00,BTCUSDT,15m,funding,-1,141972.62734598175,0.07050560023381143,9996.012438086287,,,,,,-0.000550575885524248,10009.865307799673,-5.500332607824803e-08,,,,BTCUSDT|f5|s35|sl0.0100|15m,0.4
2024-02-02T06:15:00+00:00,BTCUSDT,15m,funding,-1,141964.0740278635,0.07050560023381143,9996.00861265689,,,,,,-0.0038254293974415727,10009.262250971757,-3.821889467498145e-07,,,,BTCUSDT|f5|s35|sl0.0100|15m,0.4
2024-02-02T06:30:00+00:00,BTCUSDT,15m,exit_signal_short,-1,142167.58325122777,0.07050560023381143,9966.38285337525,141832.70501687579,4.010246205230542,,,,,,,142196.01676787803,-25.61551307641012,2024-02-02T04:45:00+00:00,BTCUSDT|f5|s35|sl0.0100|15m,0.4
2024-02-02T06:30:00+00:00,BTCUSDT,15m,entry_long,1,142167.58325122777,0.07008904384181533,9962.396300233899,142196.01676787803,3.9865531413501247,140774.05660019926,99.6638285337525,0.07008904384181533,,,,,,,BTCUSDT|f5|s35|sl0.0100|15m,0.4
